unitA_function_definition,unitA_method_declaration,unitA_for_statement,unitA_while_statement,unitA_do_statement,unitA_if_statement,unitA_else_clause,unitA_try_statement,unitA_catch_clause,unitA_switch_statement,unitA_case_statement,unitA_return_statement,unitA_class_definition,unitA_total_nodes,unitA_unique_nodes,unitA_control_flow_nodes,unitB_function_definition,unitB_method_declaration,unitB_for_statement,unitB_while_statement,unitB_do_statement,unitB_if_statement,unitB_else_clause,unitB_try_statement,unitB_catch_clause,unitB_switch_statement,unitB_case_statement,unitB_return_statement,unitB_class_definition,unitB_total_nodes,unitB_unique_nodes,unitB_control_flow_nodes,label
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,1.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,4.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,4.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,5.0,3.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,4.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,4.0,0.0
2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,5.0,3.0,0.0
3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,4.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,5.0,3.0,0.0
3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,5.0,3.0,0.0
