unitA_f0,unitA_f1,unitA_f2,unitA_f3,unitA_f4,unitA_f5,unitA_f6,unitA_f7,unitA_f8,unitA_f9,unitA_f10,unitA_f11,unitA_f12,unitA_f13,unitA_f14,unitA_f15,unitA_f16,unitA_f17,unitA_f18,unitA_f19,unitA_f20,unitA_f21,unitA_f22,unitA_f23,unitA_f24,unitA_f25,unitA_f26,unitA_f27,unitA_f28,unitA_f29,unitA_f30,unitA_f31,unitA_f32,unitA_f33,unitA_f34,unitA_f35,unitA_f36,unitB_f0,unitB_f1,unitB_f2,unitB_f3,unitB_f4,unitB_f5,unitB_f6,unitB_f7,unitB_f8,unitB_f9,unitB_f10,unitB_f11,unitB_f12,unitB_f13,unitB_f14,unitB_f15,unitB_f16,unitB_f17,unitB_f18,unitB_f19,unitB_f20,unitB_f21,unitB_f22,unitB_f23,unitB_f24,unitB_f25,unitB_f26,unitB_f27,unitB_f28,unitB_f29,unitB_f30,unitB_f31,unitB_f32,unitB_f33,unitB_f34,unitB_f35,unitB_f36,label
0.0,0.12689982,0.18063404,0.09031702,0.09031702,0.09031702,0.09031702,0.09031702,0.27095106,0.32955164,0.21353744,0.4092801,0.32030615,0.05268493,0.20481306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15805478,0.0827906,0.09031702,0.09031702,0.09031702,0.09031702,0.18063404,0.0,0.4515851,0.060211346,0.0,0.0,0.25176817,0.0,0.12217897,0.1739142,0.1739142,0.0869571,0.0869571,0.0869571,0.0869571,0.0869571,0.27196443,0.30839032,0.41118708,0.3940543,0.050724976,0.20576738,0.17890666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15217492,0.07971068,0.0869571,0.0869571,0.0869571,0.0869571,0.0869571,0.0,0.42753908,0.0869571,0.0,0.0,0.24240203,1
0.0,0.0,0.25355646,0.12677823,0.12677823,0.12677823,0.359205,0.6127615,0.3380753,0.0,0.0,0.0,0.0,0.07395397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508368,0.11621338,0.12677823,0.12677823,0.12677823,0.12677823,0.12677823,0.17812961,0.25355646,0.25355646,0.0,0.0,0.0,0.14638093,0.07378103,0.10502273,0.10502273,0.052511364,0.052511364,0.052511364,0.052511364,0.052511364,0.054744326,0.062076572,0.062076572,0.24830629,0.030631628,0.18638717,0.37813148,0.37187192,0.31577387,0.5365238,0.117106825,0.0,0.0,0.0,0.0,0.09189489,0.048135415,0.10502273,0.052511364,0.052511364,0.052511364,0.052511364,0.14756206,0.26255682,0.10502273,0.0,0.11011362,0.0,0
0.0,0.12689982,0.18063404,0.09031702,0.09031702,0.09031702,0.09031702,0.09031702,0.27095106,0.32955164,0.21353744,0.4092801,0.32030615,0.05268493,0.20481306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15805478,0.0827906,0.09031702,0.09031702,0.09031702,0.09031702,0.18063404,0.0,0.4515851,0.060211346,0.0,0.0,0.25176817,0.0,0.123873204,0.17632583,0.17632583,0.088162914,0.088162914,0.088162914,0.088162914,0.088162914,0.2757357,0.3647778,0.20844446,0.39951855,0.051428366,0.31293106,0.20859566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542851,0.080816,0.088162914,0.088162914,0.088162914,0.088162914,0.088162914,0.0,0.44081455,0.058775276,0.0,0.0,0.24576338,1
0.0,0.2524238,0.11976988,0.11976988,0.11976988,0.05988494,0.05988494,0.17965482,0.05988494,0.06243145,0.07079328,0.35396641,0.14158656,0.03493288,0.42511883,0.14784966,0.16963588,0.45014304,0.0,0.0,0.0,0.0,0.0,0.0,0.2595014,0.054894526,0.05988494,0.05988494,0.05988494,0.05988494,0.05988494,0.08414126,0.3942425,0.09980823,0.0,0.0,0.0,0.0,0.2510841,0.11913421,0.059567105,0.11913421,0.11913421,0.059567105,0.059567105,0.17870131,0.0621001,0.07041755,0.07041755,0.35208777,0.034747478,0.14095418,0.42281178,0.39371628,0.17910159,0.2148051,0.0,0.0,0.0,0.0,0.0,0.2730159,0.05460318,0.059567105,0.059567105,0.059567105,0.059567105,0.059567105,0.0836947,0.40704188,0.11417028,0.0,0.0,0.0,1
0.0,0.090435214,0.12872893,0.06436446,0.06436446,0.06436446,0.06436446,0.06436446,0.06436446,0.067101456,0.07608877,0.20290339,0.22826631,0.037545934,0.07615311,0.31781828,0.0911625,0.16127157,0.18374966,0.4306221,0.17942269,0.17942269,0.17000617,0.13188836,0.048273344,0.059000757,0.06436446,0.06436446,0.06436446,0.06436446,0.06436446,0.090435214,0.19309337,0.1126378,0.538268,0.0,0.0,0.0,0.23846953,0.11314887,0.056574434,0.11314887,0.11314887,0.056574434,0.056574434,0.1697233,0.05898017,0.06687975,0.06687975,0.33439875,0.033001754,0.1338726,0.41902912,0.16025822,0.17010346,0.510033,0.0,0.0,0.0,0.0,0.0,0.24515587,0.051859897,0.056574434,0.056574434,0.056574434,0.056574434,0.056574434,0.07948984,0.37244835,0.094290726,0.0,0.0,0.0,0
0.0,0.0,0.25032318,0.12516159,0.12516159,0.12516159,0.12516159,0.3546245,0.6049477,0.34795702,0.0,0.0,0.0,0.07301093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09387119,0.11473145,0.12516159,0.12516159,0.12516159,0.12516159,0.12516159,0.17585815,0.25032318,0.25032318,0.0,0.0,0.0,0.0,0.12204758,0.17372717,0.17372717,0.086863585,0.086863585,0.086863585,0.086863585,0.086863585,0.24148619,0.4107449,0.4107449,0.20537245,0.050670423,0.2911903,0.21445712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15201128,0.07962495,0.086863585,0.086863585,0.086863585,0.086863585,0.086863585,0.0,0.4270793,0.086863585,0.0,0.0,0.24214135,0
0.0,0.0,0.25355646,0.12677823,0.12677823,0.12677823,0.359205,0.6127615,0.3380753,0.0,0.0,0.0,0.0,0.07395397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508368,0.11621338,0.12677823,0.12677823,0.12677823,0.12677823,0.12677823,0.17812961,0.25355646,0.25355646,0.0,0.0,0.0,0.0,0.0,0.25032318,0.12516159,0.12516159,0.12516159,0.12516159,0.3546245,0.6049477,0.34795702,0.0,0.0,0.0,0.07301093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09387119,0.11473145,0.12516159,0.12516159,0.12516159,0.12516159,0.12516159,0.17585815,0.25032318,0.25032318,0.0,0.0,0.0,1
0.13358591,0.0673319,0.09584279,0.09584279,0.047921397,0.047921397,0.047921397,0.047921397,0.047921397,0.04995918,0.05665052,0.05665052,0.22660208,0.027954148,0.17009525,0.29578233,0.3846159,0.2881724,0.08640473,0.64122385,0.0,0.0,0.0,0.0,0.083862446,0.043927945,0.09584279,0.047921397,0.047921397,0.047921397,0.047921397,0.1346638,0.23960698,0.08785589,0.0,0.10048869,0.0,0.0,0.0,0.14517947,0.07258973,0.07258973,0.07258973,0.07258973,0.07258973,0.5081281,0.15135299,0.34324926,0.17162463,0.17162463,0.042344008,0.47952384,0.17921647,0.36841092,0.10912848,0.0,0.0,0.0,0.0,0.0,0.0,0.054442298,0.066540584,0.07258973,0.07258973,0.07258973,0.07258973,0.07258973,0.0,0.14517947,0.07258973,0.0,0.15221691,0.0,0
0.0,0.0,0.25355646,0.12677823,0.12677823,0.12677823,0.359205,0.6127615,0.3380753,0.0,0.0,0.0,0.0,0.07395397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508368,0.11621338,0.12677823,0.12677823,0.12677823,0.12677823,0.12677823,0.17812961,0.25355646,0.25355646,0.0,0.0,0.0,0.0,0.0,0.25032318,0.12516159,0.12516159,0.12516159,0.12516159,0.3546245,0.6049477,0.34795702,0.0,0.0,0.0,0.07301093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09387119,0.11473145,0.12516159,0.12516159,0.12516159,0.12516159,0.12516159,0.17585815,0.25032318,0.25032318,0.0,0.0,0.0,1
0.0,0.23796077,0.11290748,0.05645374,0.11290748,0.11290748,0.05645374,0.05645374,0.1693612,0.05885434,0.06673707,0.06673707,0.32256252,0.032931346,0.11132249,0.41813517,0.15991633,0.16974056,0.49198008,0.0,0.0,0.0,0.0,0.0,0.26815525,0.05174926,0.05645374,0.05645374,0.05645374,0.05645374,0.05645374,0.07932026,0.39517617,0.11290748,0.0,0.0,0.0,0.0,0.0,0.25032318,0.12516159,0.12516159,0.12516159,0.12516159,0.3546245,0.6049477,0.34795702,0.0,0.0,0.0,0.07301093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09387119,0.11473145,0.12516159,0.12516159,0.12516159,0.12516159,0.12516159,0.17585815,0.25032318,0.25032318,0.0,0.0,0.0,0
